text,length
Chúc mừng chúc mừng các TÂN SINH VIÊN PTIT,42
Trường mà không tăng học phí vs marketing rầm rộ thì có phải kéo được nhiều nhân tài về không. Nói thật là vụ marketing danh tiếng của trường hơi thấp. Rõ là cũng giỏi đấy mà ít ngưòi biết. Xưa có ô anh thi trường này mình mới biết đến và yêu thích trường. Chứ không cũng chả biết trường mình là trường nào luôn.,312
miền nam nữa sốp ơi,19
"Hòa trong niềm vui chung của thầy cô, gia đình và bạn bè, chúng ta vô cùng tự hào khi hay tin bạn
Phuong Anh
đã xuất sắc trở thành thủ khoa Học viện Công nghệ Bưu chính Viễn Thông – một trong những ngôi trường danh giá và khắt khe bậc nhất cả nước. Thành tích này không chỉ là sự ghi nhận cho bao tháng ngày miệt mài học tập, mà còn là minh chứng sống động cho ý chí, nghị lực và niềm đam mê tri thức cháy bỏng trong bạn.
Để có được vinh quang hôm nay, bạn đã trải qua vô vàn khó khăn, thử thách, từ những giờ học căng thẳng trên lớp, những buổi tự học đến khuya, cho đến sự quyết tâm không lùi bước trước bất kỳ áp lực nào. Bạn đã chứng minh rằng, chỉ cần đủ kiên trì, bền bỉ và hết lòng với ước mơ, thì thành công chắc chắn sẽ mỉm cười.
Chúng ta tin rằng, với nền tảng tri thức vững chắc và tinh thần học tập nghiêm túc, sẽ tiếp tục tỏa sáng trên con đường đại học và xa hơn nữa, góp phần mang tri thức, sáng tạo phục vụ cho đất nước. Thành tích của bạn không chỉ là niềm tự hào của gia đình, thầy cô, bạn bè, mà còn là tấm gương sáng để thế hệ học sinh, sinh viên noi theo.
Xin gửi lời chúc mừng nồng nhiệt nhất tới Phương Anh – thủ khoa mới của Học viện Công nghệ Bưu chính Viễn thông. Chúc bạn luôn giữ vững niềm đam mê, tinh thần cầu tiến và đạt được nhiều thành công hơn nữa trên hành trình sắp tới!",1306
trường xả lỗ hay sao mà điểm rơi ác v?,38
sale cả học phí nx đi trường ơiiii,34
Thấp đến nỗi không dám share :((,32
E ko biết nói gì nữa trường ạ,29
Trên hệ thống của bộ ngành thiết kế game là chương trình đại trà nhưng sao ở đây lại nằm ở chương trình chất lượng cao vậy ah,125
"Duy Hoàng
điểm ngang thủy lợi,hphi gấp đôi :))",46
"Thế bây giờ mình được 25,8 nma ttvt của mình 4 thì mình trật nghành cntt rồi hả mn",82
Chắc mấy em 2k7 ngó sẵn học phí trước đó rồi,44
Công nghệ mà như rùa bò vậy shop,32
"Con mình đỗ Cntt Việt Nhật rồi
Chờ từ 4 h chiều để xem điểm trường ạ",68
Vui lòng chờ đến thời gian tra cứu kết quả lsao ạ,49
Điểm nhìn ngượng quá. Có bạn nào để nguyện vọng thứ 16 vẫn đỗ,61
"Cho mình hỏi chút, tiêu chí phụ (cột 5) dùng để xét khi điểm trúng tuyển bằng nhau thì mới xét đến TTNV phải không ạ??",118
91 điểm HSA quy đuổi được bao điểm các bạn ơi,45
Điểm quy đổi chung này tính sao ạ,33
Điểm học bạ đổi qua điểm chuẩn kiểu gì mn,41
Mọi người cho mình hỏi là thi đánh giá năng lực được 94 điểm thì quy đổi ra thang điểm 30 là bao nhiêu vậy,106
Đủ điểm nhưng sai thứ tự là trượt ạ,35
Web trường vào vẫn ghi là chưa đến thời gian tra cứu là sao ạ???,64
"Điểm học bạ 27,32 có đỗ trí tuệ nhân tạo ko mn",46
ae cho hỏi học AI PTIT có ok không:)),37
Miền nam đâu trường,19
"Mọi người ơi, dùng học bạ thì quy đổi sang sẽ dùng công thức đã công bố trc đúng không ạ",88
Trường mik có cộng điểm ưu tiên ko ạ,36
biết đậu thì khi nào nộp HS (HS gồm những giấy tờ nào? mẫu đơn nhập học ra sao....?) xin nhờ hỗ trọ!,100
Đã có quyết định trúng tuyển và giấy báo nhập học chưa ạ,56
Cho mình hỏi chút có bạn nào tra cứu được kết quả trúng tuyển chưa ạ?,69
"Ối dồi ôi
Kỹ Sư CNTT Học Viện Công Nghệ Bưu Chính Viễn Thông hệ Elearning RikkeiSoft",84
Hsa quy đổi có đc cộng điểm vùng k mn,37
"Không biết đỗ được Trí tuệ nhân tạo không nữa
CNTT Việt Nhật cháu nhà mình đỗ chắc rồi trường ạ",95
"Đúng câu
Đợi chờ là Hạnh Phúc mình cảm ơn trường nhiều ạ",56
Ac Công nghệ đa phương tiện học đc nào ạ,40
Ngành clc đâu rùi ạ trường ơi,29
Điểm học bạ thì tính thế nào ạ,30
Trường ơi điểm này là quy hết về pthuc điểm thpt ạ?,51
học phí sale sập sàn như này thì tốt =)),40
"Trường ơi dậy điii, còn miền nam nữa mà ạaa",43
Làm tụi em hóng miền nam quá,28
"Nói thật ra là trường thu học Phí cao quá , hs cx đặt nv vô ít vô mấy bài thấy toàn cmt chửi trường vì csvc buồn luôn ý",119
Học phí mà không tăng thì điểm chuẩn cũng không thấp như này đâu ạ,66
"Cho e hỏi chương trình này có phải của trường mình không ạ? Hay là đang bị mạo danh thế ạ? Có thông tin link mn cho e xin với ạ.
Chương trình đào tạo Cử nhân Quản trị kinh doanh chuyên ngành Kinh doanh số - Học viện Công nghệ Bưu chính Viễn thông hợp tác doanh nghiệp Rikkeisoft
Chương trình được xây dựng theo hướng tích hợp kiến thức nền tảng về Quản trị, Marketing, Tài chính với các Ứng dụng Công nghệ và Chuyển đổi số trong kinh doanh.
Tổng chương trình 4 năm chia 2 giai đoạn :
Giai đoạn 1: 2 năm đầu học TRỰC TIẾP tại trường do giảng viên của trường cùng với giảng viên và chuyên gia phía Doanh nghiệp sẽ trực tiếp giảng dạy. Tập trung học các môn :
- CHUYÊN NGÀNH
- KỸ NĂNG MỀM
- Ứng dụng CÔNG NGHỆ và CHUYỂN ĐỔI SỐ ( Phân tích dữ liệu, AI, Automation,..)
- NGOẠI NGỮ (Tiếng Anh hoặc tiếng Nhật)
- Làm DỰ ÁN THỰC TIỄN ( Dự án Kinh doanh số, phân tích dữ liệu , chuyển đổi số, dự án Automation &AI for Business)
Giai đoạn 2: 2 năm sau, sinh viên sẽ tham gia quá trình THỰC TẬP ( 6 tháng) và LÀM VIỆC tại doanh nghiệp kết hợp với HỌC TRỰC TUYẾN các môn Đại cương theo Chương trình đào tạo của Học viện Công nghệ Bưu chính viễn thông.
==> Sau thực tập Doanh nghiệp sẽ đánh giá: Kiến thức, kỹ năng, kết quả thực tập... Từ đánh giá này, Doanh nghiệp sẽ đưa ra thư mời làm việc với sinh viên. Các bạn có thể đi làm ngay từ học kỳ 2 năm thứ 3
BẰNG CẤP
Sinh viên tốt nghiệp nhận Bằng Cử nhân Quản trị kinh doanh do Học viện Bưu chính viễn thông cấp có giá trị tương đương Bằng chính quy, được Bộ GD&ĐT công nhận.
VIỆC LÀM
Sinh viên được Doanh nghiệp cam kết giới thiệu việc làm bằng văn bản pháp lý",1598
Nếu điểm cao hơn điểm chuẩn của ngành thì có xét TTNV không ạ. Em đky ngành 7510301 24.75 mà NV7 thì đỗ không ạ,111
"GROUP HỖ TRỢ NHẬP HỌC VÀ CHIA SẺ CHO TÂN SINH VIÊN MARKETING
Chào mừng các chiến binh 2k7 chính thức gia nhập đại gia đình! Vào nhóm ngay để cùng nhau hỏi - đáp nhập học, kết bạn, săn tips sống sót năm nhất nhaa:
https://m.me/j/AbblDBCuVPXVmLeM/",245
"tăng học phí cho cố h sinh viên ko muốn vô nên sale hả trường
?",63
lổ muộn là có lí do cả,22
"Group cho các bạn tân sinh viên Marketing/Marketing CLC/QHCC nha
:
- Mes: https://m.me/j/AbZ6SmnOG847jnO9/
- Facebook:
https://www.facebook.com/share/g/1B4roN3zMh/
(Group chính thống duy nhất được sự đồng ý từ Bộ môn)",217
"Ngọc Ánh
nh trường tổ chức mega live sale sập sàn của năm ní ơi:))",66
Có ai tra cứu đc chưa ạ,23
Mọi người vào đc chưa,21
Đã tra cứu được thông báo trúng tuyển trên web của trường ptit chưa các bác?,76
Sao vẫn chưa có KQ đuong lịk của trường,39
"Trường cho mình hỏi mình đk NV 2 là khoa học máy tính NV 4 là CNTT mình 27,39 điểm lại ko đỗ NV 2 mà lại báo đỗ NV 4 cntt",121
"Phạm Phương Thảo
đỗ đâu",23
Vô check trúng tuyển đc r hay sao á,35
Sale roi,8
này là tất cả các khối ạ,24
học AI PTIT oke không ạ,23
cơ sở miền nam đâu trường?,26
em yêu trường quá,17
Trường mình giờ chắc tier 5 rồi nhỉ,35
"Các bạn cho mìh hỏi mìh tra cổg của Bộ va của trườg đều báo đỗ, mìh đã xác nhận nhập học trực tuyến thàh côg trên cổg của Bộ rồi nhưg trước đăg ký nguyện vọg chỉ đăng ký trên cổg Bộ khôg đăg ký trên cổg của trườg thì có được ko?",228
Bảng điểm k có dấu đỏ của nhà trường là sao,43
Ai tra đc trên web chưa mn,26
"yêu trường chít mất, năm sau vẫn v nha nm để tiêu chí nv xuống 3 đi ạ",69
Trường mình có xét giải hsg cấp tỉnh ko nhỉ. Con e năm nay mới lên lớp 12 ạ.,76
"mn ơi cái thứ tự nguyện vọng á, em để thấp hơn trên kia yêu cầu thì có sao ko ạ",79
Cuối chuỗi thức ăn,18
"Nguyễn Huy Hoàng
ngon ơ",23
Trường ib tư vấn giúp ạ,23
Hên quá đến nv4 tmdt,20
"Điểm học bạ và kết hợp Ielts được 27,3 thì quy đổi thế nào các mẹ ơi?",69
Buồn quá hẹn trường năm sau,27
Tạm biệt…. PTIT,15
Ủa trường sao năm ngoái kh zậy đi,33
Mọi người cho e hỏi là chương trình CLC thì nó khác j với chương trình đại trà ạ ?,82
"Thu Hòa
mất truyền thống rồi, k để sát deadline nữa =)))",56
web đó tra có bao gồm trường ở miền nam chưa vậy ạ ?,52
Chương trình đại trà với clc khác nhau như nào ah?,50
Đang nghẽn hả shop,18
Sale sập sàn,12
"mn ơi, nếu ttnv của mình là 4 mà ngành mình chỉ xét ttnv<=2 là mình trượt ạ",75
"Đinh Tú Anh
Nguyễn Thị Bình
Linh Chi
hồi hộp quá
có đỗ ko",57
Điểm nhìn bth nhỉ,17
Quy đổi điểm vact như nào ạ,27
Vào đường link của trường mà chưa hiện KQ nhỉ,45
"Đỗ Hoàng Yến
Trường tích cực tìm cổ đông quá :))",48
Các bác có địa chỉ trường học ở đây không cho em xin địa chỉ với để em đi tìm nhà trọ cho con nhà em,100
ước năm sau trường để điểm vậy,30
"Chúc mừng con
Quyên Vũ",22
Đỗ mỗi tiêu chí phụ,19
Trường dùng mạng 3G hả mà hơn 21h mới đăng,42
"@Chúc mừng e zai
Minh Hải
đã cập bến",36
Mai em giật giật nha:),22
nào mới có miền nam sốp ơi,26
xập xàn luôn,12
4 với 5 khác gì nhau vậy ad :))?,32
Mình vẫn chưa tra dc cho con trai,33
"Phạm Thành Đạt
hay chứ",22
"Nhật Tân Phạm Đạt
Đăng Quang
đáy của đáy",40
Mn ơi cho em hỏi khi nào xét tuyển đợt 2 vậy ạ?,47
đây là điểm thi tốt nghiệp hay điểm xét kết hợp học bạ và chứng chỉ quóc tế ạ? có bảng quy đổi giữa các phương thưc ko a,120
miền nam đâu r ạ,16
"nếu điểm quy đổi học bạ vs chứng chỉ quy đổi là 25,37 trên web thì có đỗ ky thuật điện tử viễn thông theo bảng tren ko",118
Cho em hỏi là điểm này có tính cả điểm TSA chưa ạ,49
Dỗi ghê năm trc khoa tmdt thì lấy rõ cao,40
trường ơi web sập rồi em còn chưa tra,37
lụm luôn,8
Em yêu trường ạ,15
"s
z
sáp mai ụulYia",18
"23,4 thiếu 0.1 tạm biệt ngành game năm sau gặp lại",50
"Lê Thanh Huyền
Thu Diệu
Nhật Linh
Vi Nguyen
trượt thẳng vào ptit chưa",69
"Điểm học bạ 26,4 nghành marketing có đỗ ko ạ",44
Bao giờ thì nhập học ạ!,23
"Mm ơi mik tra nó chỉ hiện tên,điểm,mã nghành là đỗ chx MN?",58
trường ra ngay cho e cái hsa,28
Điểm trúng tuyển này là có bao gồm điểm quy đổi chưa ạ hay đây là điểm chay ạ,77
sale sập sàn luôn,17
Năm đầu thì học ở khu nào vậy các bạn,37
Đỗ rồi,6
"Mấy ní ơi cho hỏi , điểm XTTN được 84 thì có đỗ được kỹ thuật điều khiển và tự động hoá ko ạ",92
"Tra trên cổng Ptit đã trúng tuyển + mã nghành, mà chưa thấy Mail trường gửi về , lo sốt vó...",93
"Đinh Quyết Thắng
ra đường không dám nhận sv (sinh viên) trường",62
"Tạ Kiên
thấy sao em ok không nhập học thôi nhỉ",46
sale sập sàn,12
Xin tư vấn tuyển đợt 2,22
để sai thứ tự nv là trượt dk mn...,34
vãi chưởn nhìn bcuoi v=)),25
"Tôi yêu ptit
I love ptit",24
Trường xét d14 ngành báo chí k ạ,32
"Nguyễn Duy Bảo Quốc
tôi đã có mặt ở đây !",41
"Tưởng điểm tăng để nv rõ cao =))
Giảm hơn 1đ luon
Cho e đ.kí lại nv vs",70
sao năm nay sale sập sàn v,26
bằng một cách thần kì nào đó thì điểm cntt NEU cao hơn ptit,59
"Nguyễn Phương Thảo
Nguyễn Thị Thanh Thu
Đặng Minh Trang
Ngọc Khánhh
nghĩ quẩn",77
Chẳng hạn ttnv là nhỏ hơn 2 mà xếp 3 có sao ko,46
cơ sở phía nam có điểm chưa ạ,29
"Quang
chúc mừng tân sinh viên",29
Em yêu trườngg,14
"Trần Văn Dũng
đam mê nè",23
sale cái bắt dc mẻ lớn,22
Sale sập sàn đến từ vị trí ptit,31
"Ơ vậy không có điểm tài năng ạ ad
Học viện Công nghệ Bưu chính Viễn thông - PTIT",80
Ký túc xá ở trường mình thế nào ạ? Tiêu chuẩn để đăng ký vào là gì? Bao nhiêu tiền/ năm ? Có bạn nào biết trả lời cho mình được không ạ? Cảm ơn nhiều ạ!,152
"Nguyễn Dũng
tôi đã ở đây",24
"Đại T. Hảo
kho bạc",18
đổi ngành thành công,20
sập sàn,7
"TTuấnn AAnhh
kể cả khi trường sale sập sàn thì điểm tôi năm đấy vẫn không đủ đỗ ngành mình :))",94
"Thanh Huyền
nhìn mà tự ái",25
"điểm xttn của em là 77,6 có đỗ logistic ko ạ",44
yêu trường nho,14
Sao điểm quy đổi của tôi đủ điểm mà trường báo trượt nhỉ,56
Năm sau học phí lên 1 củ 1 nữa còn 20đ,38
"Thùy Linh
đỗ rồi chứ bà",23
Sập sàn,7
"Tiến Hưng
nay cg dc",19
"Hiện bên chị còn tuyển 2 bạn bộ phận Support
Apply nhanh nha
:
https://forms.gle/8sEcVLSBs6xFGiGN6",98
"Cường Nguyễn
1 cụ / tín thì cũm như lày",39
"Mạnh Nguyễn
học trường ni cũng được",35
"rớt ptit rớt ptit rớt ptit, xin lỗi ptit vì đã đặt nv kh suy nghĩ, rớt ptit manifest cực mạnh",93
"Anh Lam
my biggest dream",24
xịt keo,7
"Nguyễn Tiến
cũng đáy xã hội như trường t :))",44
Ai ở phú thọ đỗ vào trường ạ xin làm quyen để cùng tìm phòng trọ cho bạn nhà mk,79
"Lê Đình Phát
IT mất giá thế :)))",32
"Phạm Nguyễn Nhật Minh
bạn em sẵn sàng bán mình cho tư bản ạ",59
"Khanh Ha
cái thế gì nhỉ",23
"tham giá gr
D25 - 2007 PTIT Hà Nội
để cập nhật những thông tin mới nhất nhá các e",81
"Thiện Đinh
Đỗ Văn Đạt
đỗ rồi",28
Em ko dám share,15
"Trường cho mình hỏi con mình xét truyền thông đa phương tiện là nv4 và công nghệ đa phương tiện nguyện vọng 5 thiết kế game nv 8-9 điểm của mình là 26,67 tại sao mình ko đỗ các nv 45 mà lại đỗ thiết kế game",206
"Ph Đức Hiếu
chú nhất rồi",24
điểm này có tính điểm cộng ko nhỉ,33
"Nguyễn Trần Khánh Vy
đã quá chị ơiiii",37
quy đổi tsa sang thpt nnao ạ ptit ơiiiii,40
Quá rủi ro để share :))),24
"Hoàng Mỹ
bú nhó",15
"Vũ Minh
săn sale",16
"Quang Hoàng
chúc",16
"Nếu bạn nào tìm các gr riêng của các ngành thuộc khoa CNTT1 thì đây nè
Link nhóm chat theo ngành:
- Công nghệ thông tin: https://m.me/j/AbZgt6Hk1RArL52Y/
- Công nghệ thông tin CLC: https://m.me/j/AbYrfe6AwiZdkzQ8/
- Khoa học máy tính: https://m.me/j/AbbBmSd-qukn7Dst/
- Trí tuệ nhân tạo: https://m.me/j/AbYJJg9hbabruqyQ/
- An toàn thông tin: https://m.me/j/Abb0mcrpyVp2E8AE/
- An toàn thông tin CLC: https://m.me/j/AbakZePYptMRVUnh/
- Công nghệ thông tin Việt - Nhật: https://m.me/j/AbanbXDAd8UIjw-5/",500
Khổng Hoang Anh,15
Dũng Bùi Văn,12
Phan Ngọc Ánh,13
Thuý An,7
Trần M Hùng,11
Lê Văn Ngọc Tuấn,16
Hien Nguyen,11
Nguyễn Huệ,10
Nguyễn Hồng,11
Nguyễn Hà Khải Lệ,17
Lại Mạnh Cường,14
Quang Thắng,11
Đoàn Huy Toản,13
Minh Đức,8
Nguyễn My,9
Ngọc Ánh,8
Duy Mai,7
Tiêu Duy,8
Trần Đình Chất,14
Chúc mừng các tân sinh viên D25 PTIT,36
"Chúc mừng người con xuất sắc của mảnh đất Hà Nam anh hùng
Phạm Dũng
đã xuất sắc trở thành thủ khoa Học viện Công nghệ Bưu chính Viễn Thông – một trong những ngôi trường danh giá và khắt khe bậc nhất cả nước. Thành tích này không chỉ là sự ghi nhận cho bao tháng ngày miệt mài học tập, mà còn là minh chứng sống động cho ý chí, nghị lực và niềm đam mê tri thức cháy bỏng trong bạn.
Để có được vinh quang hôm nay, bạn đã trải qua vô vàn khó khăn, thử thách, từ những giờ học căng thẳng trên lớp, những buổi tự học đến khuya, cho đến sự quyết tâm không lùi bước trước bất kỳ áp lực nào. Bạn đã chứng minh rằng, chỉ cần đủ kiên trì, bền bỉ và hết lòng với ước mơ, thì thành công chắc chắn sẽ mỉm cười.
Chúng ta tin rằng, với nền tảng tri thức vững chắc và tinh thần học tập nghiêm túc, sẽ tiếp tục tỏa sáng trên con đường đại học và xa hơn nữa, góp phần mang tri thức, sáng tạo phục vụ cho đất nước. Thành tích của bạn không chỉ là niềm tự hào của gia đình, thầy cô, bạn bè, mà còn là tấm gương sáng để thế hệ học sinh, sinh viên noi theo.
Xin gửi lời chúc mừng nồng nhiệt nhất tới Phạm Dũng – thủ khoa mới của Học viện Công nghệ Bưu chính Viễn thông. Chúc bạn luôn giữ vững niềm đam mê, tinh thần cầu tiến và đạt được nhiều thành công hơn nữa trên hành trình sắp tới!",1264
Mih hog có điểm của cơ sở phía Nam ạ?,37
Vào đường link mà chưa hiện KQ nhỉ,34
"25,5 xét học bạ có đỗ trí tuệ nhân tạo ko ạ?",44
điểm cơ sở miền nam đâu trường ơi,33
đậu r:)),8
Oizoioi:))),11
"Nguyễn Đức Thắng
ng",19
"Phạm Hiếu
Phạm Hiếu
Phạm Hiếu
huhu",34
Cooooooo,8
"RECAP NGÀY ĐẦU – “TRỞ VỀ THỜI KHẮC THIÊNG LIÊNG” TẠI PTIT
Những PTITers đầu tiên đã cùng nhau “xuyên không”  trở về lịch sử với công nghệ thực tế ảo tại Lab Huawei – PTIT:
Hòa mình vào những khoảnh khắc hào hùng.
Trải nghiệm công nghệ sáng tạo made by PTIT.
Check-in điểm hẹn công nghệ hiện đại.
Một hành trình vừa tự hào – vừa hứng khởi cùng công nghệ!
Cảm ơn thầy và trò Chương trình Thiết kế và Phát triển Game đã góp phần tạo nên sự kiện ý nghĩa này.
Xem ngay loạt khoảnh khắc đáng nhớ dưới đây
Đừng quên chúng ta còn lịch hẹn ngày mai nha các bạn
#PTIT #HocVienCongNgheBuuChinhVienThong #SuKienPTIT #TroVeThoiKhacThiengLieng #VR #ThucTeAo #LichSuDanToc
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",1308
Thật ra trật HUST với UET mới quay sang quan tâm PTIT nên ad công bố điểm chuẩn lẹ đi,85
"Lẹ lên trường ei , em còn đi đẻ",31
nhà mình định giống hnue ạ =)))))),34
Mình học tại trụ sở chính hay cơ sở đào tạo ở hnoi ạ,52
Viễn thông phải tiên phong chứ nhỉ,34
ôi nhà mình ơi nhà mình chừng nào có điểm ạ,43
trường ngất xỉu r đúng kh ạ...,30
"Sao trường công bố điểm chậm vậy , mỏi mòn chờ tin",50
"í là trường ơi,.......mình trễ deadline rùi",43
Truong oiii,11
Mng ơi cho e hỏi ạ,18
Trường ơi công bố điểm chuẩn đi ạ,33
"Đọt, t nv1 trường này mà chưa lên điểm",38
Trời công bố điểm đi trường ơi,30
trường mất kết nối vs xã hội r hả,33
Em hóng lắm r trường cho em xin cái điểm đi ạ,45
cựu sv được trải nghiệm không ạ,31
Lẹ trường oi,12
lẹ trường oii,13
điểm đi trg ơi,14
RA ĐIỂM ĐI TRƯỜNG ƠI,20
"Trường ơi, em iu trg lắm, trg có điểm chx",41
Trường ơi,9
Trường oiiiii,13
trường ơi..,11
trường ơi.....,14
trường ơi…..,12
"Trường lên điểm chuẩn đi ạ
em làm xong mẫu capcut r",51
Có điểm chuẩn chưa ad,21
"năm ngoái trường có ra điểm chậm ntn k mọi ng, năm nay đợi mãi k đc đi tắm :))",78
Cứ ăn cơm xong lượn vòng hồ tối về kiểu j chả có điểm đỗ,56
Trường ơi cho em cái điểm chuẩn,31
Trường chưa có điểm chuẩn ạ,27
Lẹ lên t còn sắp quần áo,24
Điểm chuẩn đâu addd,19
Quý trường có điểm chưa ạ,25
Mòn mỏi,7
điểm where bùn ỉa rồi,21
Trg đói bụng hả,15
Lẹ đi trg ơi,12
Lẹ đii trường ới,16
điểm đâu r trg ơi,17
quý trường ơi :> em vội,26
Lẹ lên trg sắp mất e r,22
nhanh lên trường ơi,19
alu trường ơi,13
Người đừng lặng im đến thế,26
"năm nào cũng như năm nào, làm ăn lề mề thật",43
Mãi chưa có điểm,16
Chưa có điểm sao trường ơiiiii,30
"quá tuyệt vời, bộ ra thông báo muộn nhất 5h sẽ có kết quả và học viện công nghệ hàng da đến giờ đã chậm 2h",106
Em trượt 3 cái trên rồi trường ở vị trí số 4 hãy cho em đỗ đi,61
Trường ơi chuẩn đi trường huhu,30
Trường ơi...,12
Trường ngủ quên haz,19
https://vnexpress.net/diem-chuan-hoc-vien-cong-nghe-buu-chinh-vien-thong-ptit-2025-moi-nhat-4928949.html,104
Như Quỳnh,9
Trường mình công bố điểm chuẩn đi ạ,35
Trường ơi công bố điểm chúanr đi ạ,34
"TRẢI NGHIỆM ĐỘC QUYỀN “TRỞ VỀ THỜI KHẮC THIÊNG LIÊNG” DÀNH CHO SINH VIÊN PTIT
Các PTIT-ers ơi, đã sẵn sàng ngược dòng thời gian để sống lại những giây phút lịch sử thiêng liêng của dân tộc chưa?
Thời gian mở trải nghiệm:
- Chiều thứ 5 (21/8):14h00-17h00
- Sáng thứ 6 (22/8): 09h00-12h00
- Chiều thứ 6 (22/8): 14h00 - 17h00
Địa điểm: Lab Huawei – PTIT (Tầng 2 - Hội trường A2)
Tại đây, các bạn sẽ được:
Trực tiếp “sống lại” những thời khắc lịch sử qua công nghệ thực tế ảo hiện đại.
Cảm nhận không khí hào hùng của dân tộc một cách chân thực, sống động.
Trải nghiệm thành quả công nghệ do chính PTIT tham gia triển khai.
Checkin phòng Lab mới toanh siêu xịn sò.
Đừng bỏ lỡ cơ hội độc đáo này, rủ ngay hội bạn thân ghé Lab Huawei để cùng nhau “trở về” với lịch sử và tự hào với dấu ấn sáng tạo từ chính mái trường của chúng ta!
#PTIT #HocVienCongNgheBuuChinhVienThong #SuKienPTIT #TroVeThoiKhacThiengLieng #VR #ThucTeAo #LichSuDanToc
___________________________________
HỌC VIỆN CÔNG NGHỆ BƯU CHÍNH VIỄN THÔNG
Trụ sở chính: 122 Hoàng Quốc Việt, P.Nghĩa Đô, Hà Nội.
Học viện Cơ sở tại TPHCM: 11 Nguyễn Đình Chiểu, P. Sài gòn, Thành phố Hồ Chí Minh.
Cơ sở Đào tạo tại Hà Đông: Km10 Đường Nguyễn Trãi, P.Hà Đông, Hà Nội.
Cơ sở Đào tạo tại Ngọc Trục: Ngõ 33, Đường Đại Mỗ, P.Dương Nội, Hà Nội.
Cơ sở Đào tạo tại TP.HCM: 97 Đường Man Thiện, P. Tăng Nhơn Phú,  TP.Hồ Chí Minh
► Fanpage: 
https://facebook.com/HocvienPTIT
► Tuyển sinh: https://tuyensinh.ptit.edu.vn/
► Youtube: https://www.youtube.com/@PChannels
► Tiktok: https://www.tiktok.com/@langthangptit
► Website: https://ptit.edu.vn",1582
Mất vé ko ạ,11
Cựu sinh viên được không ạ,26
Cựu sinh viên thì vào xem như nào ạ,35
Sinh viên trường khác cũng muốn xem PTIT oii,44
"Hoàng Thái
một phần lý do tăng học phí đấy nhỉ :))))",52
Ad ơi cựu sinh viên đăng ký như nào vậy ạaaa,44
mình cho ng nhà đi xem cùng được ko ad,38
Tưởng 21/8 chứ nhỉ,18
"Hà Huệ
chị ui",13
Giảng viên chưa có buổi nào hả ad ưi,36
Nguyễn Huy Anh,14
Nguyễn Vũ Hoang Anh,19
"Nguyễn Hà
chị oiii",18
"Thảo Nguyn
kìa cục cưng",23
tháng 9 cơ ạ,12
"Hoàng Xuân Đức
đi th",20
"Quangg Huy
tốn 3 tiếng đợi",26
Lan Phuong,10
"Minh Hue Bui
em muốnnnnn ạaaaaaa",32
"Đặng Trà My
Nguyễn Hai Anh
k bùng",33
Tony Le,7
"Vân Khánh
đi nữa ko",19
